display_name,name,version,thinking,input_token_limit,output_token_limit,temperature,top_p,top_k,description,supported_actions
Embedding Gecko,models/embedding-gecko-001,001,,1024,1,,,,Obtain a distributed representation of a text.,"['embedText', 'countTextTokens']"
Gemini 2.5 Flash,models/gemini-2.5-flash,001,True,1048576,65536,1.0,0.95,64,"Stable version of Gemini 2.5 Flash, our mid-size multimodal model that supports up to 1 million tokens, released in June of 2025.","['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.5 Pro,models/gemini-2.5-pro,2.5,True,1048576,65536,1.0,0.95,64,"Stable release (June 17th, 2025) of Gemini 2.5 Pro","['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.0 Flash Experimental,models/gemini-2.0-flash-exp,2.0,,1048576,8192,1.0,0.95,40,Gemini 2.0 Flash Experimental,"['generateContent', 'countTokens', 'bidiGenerateContent']"
Gemini 2.0 Flash,models/gemini-2.0-flash,2.0,,1048576,8192,1.0,0.95,40,Gemini 2.0 Flash,"['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.0 Flash 001,models/gemini-2.0-flash-001,2.0,,1048576,8192,1.0,0.95,40,"Stable version of Gemini 2.0 Flash, our fast and versatile multimodal model for scaling across diverse tasks, released in January of 2025.","['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.0 Flash (Image Generation) Experimental,models/gemini-2.0-flash-exp-image-generation,2.0,,1048576,8192,1.0,0.95,40,Gemini 2.0 Flash (Image Generation) Experimental,"['generateContent', 'countTokens', 'bidiGenerateContent']"
Gemini 2.0 Flash-Lite 001,models/gemini-2.0-flash-lite-001,2.0,,1048576,8192,1.0,0.95,40,Stable version of Gemini 2.0 Flash-Lite,"['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.0 Flash-Lite,models/gemini-2.0-flash-lite,2.0,,1048576,8192,1.0,0.95,40,Gemini 2.0 Flash-Lite,"['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.0 Flash-Lite Preview 02-05,models/gemini-2.0-flash-lite-preview-02-05,preview-02-05,,1048576,8192,1.0,0.95,40,"Preview release (February 5th, 2025) of Gemini 2.0 Flash-Lite","['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.0 Flash-Lite Preview,models/gemini-2.0-flash-lite-preview,preview-02-05,,1048576,8192,1.0,0.95,40,"Preview release (February 5th, 2025) of Gemini 2.0 Flash-Lite","['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini Experimental 1206,models/gemini-exp-1206,2.5-exp-03-25,True,1048576,65536,1.0,0.95,64,"Experimental release (March 25th, 2025) of Gemini 2.5 Pro","['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.5 Flash Preview TTS,models/gemini-2.5-flash-preview-tts,gemini-2.5-flash-exp-tts-2025-05-19,,8192,16384,1.0,0.95,64,Gemini 2.5 Flash Preview TTS,"['countTokens', 'generateContent']"
Gemini 2.5 Pro Preview TTS,models/gemini-2.5-pro-preview-tts,gemini-2.5-pro-preview-tts-2025-05-19,,8192,16384,1.0,0.95,64,Gemini 2.5 Pro Preview TTS,"['countTokens', 'generateContent', 'batchGenerateContent']"
Gemma 3 1B,models/gemma-3-1b-it,001,,32768,8192,1.0,0.95,64,,"['generateContent', 'countTokens']"
Gemma 3 4B,models/gemma-3-4b-it,001,,32768,8192,1.0,0.95,64,,"['generateContent', 'countTokens']"
Gemma 3 12B,models/gemma-3-12b-it,001,,32768,8192,1.0,0.95,64,,"['generateContent', 'countTokens']"
Gemma 3 27B,models/gemma-3-27b-it,001,,131072,8192,1.0,0.95,64,,"['generateContent', 'countTokens']"
Gemma 3n E4B,models/gemma-3n-e4b-it,001,,8192,2048,1.0,0.95,64,,"['generateContent', 'countTokens']"
Gemma 3n E2B,models/gemma-3n-e2b-it,001,,8192,2048,1.0,0.95,64,,"['generateContent', 'countTokens']"
Gemini Flash Latest,models/gemini-flash-latest,Gemini Flash Latest,True,1048576,65536,1.0,0.95,64,Latest release of Gemini Flash,"['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini Flash-Lite Latest,models/gemini-flash-lite-latest,Gemini Flash-Lite Latest,True,1048576,65536,1.0,0.95,64,Latest release of Gemini Flash-Lite,"['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini Pro Latest,models/gemini-pro-latest,Gemini Pro Latest,True,1048576,65536,1.0,0.95,64,Latest release of Gemini Pro,"['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.5 Flash-Lite,models/gemini-2.5-flash-lite,001,True,1048576,65536,1.0,0.95,64,"Stable version of Gemini 2.5 Flash-Lite, released in July of 2025","['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Nano Banana,models/gemini-2.5-flash-image-preview,2.0,,32768,32768,1.0,0.95,64,Gemini 2.5 Flash Preview Image,"['generateContent', 'countTokens', 'batchGenerateContent']"
Nano Banana,models/gemini-2.5-flash-image,2.0,,32768,32768,1.0,0.95,64,Gemini 2.5 Flash Preview Image,"['generateContent', 'countTokens', 'batchGenerateContent']"
Gemini 2.5 Flash Preview Sep 2025,models/gemini-2.5-flash-preview-09-2025,Gemini 2.5 Flash Preview 09-2025,True,1048576,65536,1.0,0.95,64,Gemini 2.5 Flash Preview Sep 2025,"['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 2.5 Flash-Lite Preview Sep 2025,models/gemini-2.5-flash-lite-preview-09-2025,2.5-preview-09-25,True,1048576,65536,1.0,0.95,64,"Preview release (Septempber 25th, 2025) of Gemini 2.5 Flash-Lite","['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
